Climb.rate	Sgz	P	Q	Cur.roll	Abs.roll	Diff.clb	Diff.roll.rate	Diff.diff.clb	A	Sa.time2	Sa.time3	Sa.time4	Diff.sa.time1	Diff.sa.time2	Diff.sa.time3	Diff.sa.time4	Sa	Goal
118	 -55	 -0.28	 -0.08	 -0.2	 -11	 11	 0.005	 -0.2	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.031
390	 -45	 -0.06	 -0.07	 -0.6	 -12	 11	 0.010	 -0.2	 -0.0008	 -0.0008	 -0.0008	 -0.0008	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0008	 0.034
68	 6	 0.11	 0.15	 0.6	 -10	 -9	 -0.003	 -0.2	 -0.0011	 -0.0010	 -0.0010	 -0.0010	 -0.0002	 0.0000	 0.0000	 0.0000	 -0.0010	 0.033
-358	 -12	 -0.20	 0.13	 -0.3	 -11	 -7	 0.001	 -0.1	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.032
-411	 -19	 -0.18	 0.02	 -0.5	 -11	 -3	 0.002	 1.2	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.030
-374	 -29	 -0.14	 0.03	 -0.8	 -12	 5	 0.003	 -0.3	 -0.0008	 -0.0010	 -0.0010	 -0.0010	 0.0001	 0.0000	 0.0000	 0.0000	 -0.0010	 0.028
-11	 -43	 0.34	 -0.05	 -0.4	 -11	 9	 0.010	 -0.2	 -0.0007	 -0.0007	 -0.0007	 -0.0007	 -0.0002	 0.0000	 0.0000	 0.0000	 -0.0007	 0.029
224	 5	 -0.35	 0.06	 -1.2	 -12	 1	 0.010	 0.2	 -0.0008	 -0.0008	 -0.0008	 -0.0008	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0008	 0.030
-120	 13	 0.29	 0.15	 -1.4	 -12	 -9	 0.008	 -0.2	 -0.0008	 -0.0008	 -0.0008	 -0.0008	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0008	 0.029
-335	 -3	 0.27	 0.13	 -0.1	 -11	 -8	 -0.009	 -0.2	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.027
-237	 -32	 -0.15	 0.03	 0.3	 -11	 2	 -0.007	 -0.1	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.026
-104	 -60	 0.30	 0.09	 0.8	 -10	 -4	 -0.007	 -0.2	 -0.0009	 -0.0009	 -0.0009	 -0.0009	 0.0000	 0.0000	 -0.0002	 0.0000	 -0.0009	 0.027
-165	 -63	 0.16	 0.10	 1.0	 -10	 -7	 -0.014	 -0.1	 -0.0010	 -0.0010	 -0.0010	 -0.0010	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0010	 0.024
108	 -70	 -0.40	 0.01	 -0.6	 -11	 6	 0.003	 -0.2	 -0.0008	 -0.0008	 -0.0008	 -0.0008	 0.0000	 0.0000	 0.0001	 0.0000	 -0.0008	 0.025
51	 -52	 0.18	 0.10	 -1.5	 -12	 -4	 0.004	 -0.1	 -0.0008	 -0.0008	 -0.0008	 -0.0008	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0008	 0.026
-43	 -52	 0.19	 0.18	 -1.2	 -12	 -13	 -0.005	 -0.3	 -0.0009	 -0.0009	 -0.0009	 -0.0009	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0009	 0.025
